1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 54000000511DD721
Is Mission Active?  true
Mission Start:  Wed Jun 05 16:19:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1677
Total Samples:  2970
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
23/06/19 12:19:00 AM,C,13.5
23/06/19 1:19:00 AM,C,13.5
23/06/19 2:19:00 AM,C,13
23/06/19 3:19:00 AM,C,13
23/06/19 4:19:00 AM,C,13.5
23/06/19 5:19:00 AM,C,13.5
23/06/19 6:19:00 AM,C,13
23/06/19 7:19:00 AM,C,13.5
23/06/19 8:19:00 AM,C,13
23/06/19 9:19:00 AM,C,13
23/06/19 10:19:00 AM,C,13.5
23/06/19 11:19:00 AM,C,26
23/06/19 12:19:00 PM,C,22.5
23/06/19 1:19:00 PM,C,19.5
23/06/19 2:19:00 PM,C,21.5
23/06/19 3:19:00 PM,C,27
23/06/19 4:19:00 PM,C,22.5
23/06/19 5:19:00 PM,C,26
23/06/19 6:19:00 PM,C,20
23/06/19 7:19:00 PM,C,15
23/06/19 8:19:00 PM,C,14.5
23/06/19 9:19:00 PM,C,14
23/06/19 10:19:00 PM,C,13.5
23/06/19 11:19:00 PM,C,13
24/06/19 12:19:00 AM,C,13
24/06/19 1:19:00 AM,C,13
24/06/19 2:19:00 AM,C,13
24/06/19 3:19:00 AM,C,13
24/06/19 4:19:00 AM,C,13
24/06/19 5:19:00 AM,C,11.5
24/06/19 6:19:00 AM,C,12.5
24/06/19 7:19:00 AM,C,13.5
24/06/19 8:19:00 AM,C,14.5
24/06/19 9:19:00 AM,C,15.5
24/06/19 10:19:00 AM,C,14
24/06/19 11:19:00 AM,C,17.5
24/06/19 12:19:00 PM,C,16
24/06/19 1:19:00 PM,C,24.5
24/06/19 2:19:00 PM,C,21.5
24/06/19 3:19:00 PM,C,23
24/06/19 4:19:00 PM,C,20.5
24/06/19 5:19:00 PM,C,22.5
24/06/19 6:19:00 PM,C,16
24/06/19 7:19:00 PM,C,14.5
24/06/19 8:19:00 PM,C,15.5
24/06/19 9:19:00 PM,C,15.5
24/06/19 10:19:00 PM,C,14.5
24/06/19 11:19:00 PM,C,14.5
25/06/19 12:19:00 AM,C,13.5
25/06/19 1:19:00 AM,C,14
25/06/19 2:19:00 AM,C,13.5
25/06/19 3:19:00 AM,C,13.5
25/06/19 4:19:00 AM,C,12.5
25/06/19 5:19:00 AM,C,10.5
25/06/19 6:19:00 AM,C,12.5
25/06/19 7:19:00 AM,C,14.5
25/06/19 8:19:00 AM,C,17
25/06/19 9:19:00 AM,C,21
25/06/19 10:19:00 AM,C,15
25/06/19 11:19:00 AM,C,16.5
25/06/19 12:19:00 PM,C,19.5
25/06/19 1:19:00 PM,C,21
25/06/19 2:19:00 PM,C,21.5
25/06/19 3:19:00 PM,C,23
25/06/19 4:19:00 PM,C,21
25/06/19 5:19:00 PM,C,20.5
25/06/19 6:19:00 PM,C,16.5
25/06/19 7:19:00 PM,C,15.5
25/06/19 8:19:00 PM,C,15.5
25/06/19 9:19:00 PM,C,15.5
25/06/19 10:19:00 PM,C,15.5
25/06/19 11:19:00 PM,C,15
26/06/19 12:19:00 AM,C,14.5
26/06/19 1:19:00 AM,C,14
26/06/19 2:19:00 AM,C,14
26/06/19 3:19:00 AM,C,14
26/06/19 4:19:00 AM,C,13.5
26/06/19 5:19:00 AM,C,12.5
26/06/19 6:19:00 AM,C,12.5
26/06/19 7:19:00 AM,C,14.5
26/06/19 8:19:00 AM,C,17
26/06/19 9:19:00 AM,C,19.5
26/06/19 10:19:00 AM,C,19
26/06/19 11:19:00 AM,C,17
26/06/19 12:19:00 PM,C,17.5
26/06/19 1:19:00 PM,C,18.5
26/06/19 2:19:00 PM,C,15
26/06/19 3:19:00 PM,C,15
26/06/19 4:19:00 PM,C,15.5
26/06/19 5:19:00 PM,C,19
26/06/19 6:19:00 PM,C,15.5
26/06/19 7:19:00 PM,C,15
26/06/19 8:19:00 PM,C,15
26/06/19 9:19:00 PM,C,15
26/06/19 10:19:00 PM,C,15
26/06/19 11:19:00 PM,C,15
27/06/19 12:19:00 AM,C,14.5
27/06/19 1:19:00 AM,C,14.5
27/06/19 2:19:00 AM,C,14.5
27/06/19 3:19:00 AM,C,14.5
27/06/19 4:19:00 AM,C,14
27/06/19 5:19:00 AM,C,14
27/06/19 6:19:00 AM,C,13.5
27/06/19 7:19:00 AM,C,13.5
27/06/19 8:19:00 AM,C,14.5
