1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EC00000050F14B21
Is Mission Active?  true
Mission Start:  Thu Jun 04 11:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1827
Total Samples:  11849
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Aug 23 00:00:00 PDT 2020
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
04/06/20 11:01:00 AM,C,26.5
04/06/20 12:01:00 PM,C,24.5
04/06/20 1:01:00 PM,C,23
04/06/20 2:01:00 PM,C,23.5
04/06/20 3:01:00 PM,C,16
04/06/20 4:01:00 PM,C,11
04/06/20 5:01:00 PM,C,11
04/06/20 6:01:00 PM,C,11.5
04/06/20 7:01:00 PM,C,11.5
04/06/20 8:01:00 PM,C,11.5
04/06/20 9:01:00 PM,C,11
04/06/20 10:01:00 PM,C,11
04/06/20 11:01:00 PM,C,11
05/06/20 12:01:00 AM,C,11.5
05/06/20 1:01:00 AM,C,11.5
05/06/20 2:01:00 AM,C,11.5
05/06/20 3:01:00 AM,C,11.5
05/06/20 4:01:00 AM,C,11.5
05/06/20 5:01:00 AM,C,11
05/06/20 6:01:00 AM,C,11
05/06/20 7:01:00 AM,C,11
05/06/20 8:01:00 AM,C,15
05/06/20 9:01:00 AM,C,17
05/06/20 10:01:00 AM,C,19.5
05/06/20 11:01:00 AM,C,24.5
05/06/20 12:01:00 PM,C,26.5
05/06/20 1:01:00 PM,C,33.5
05/06/20 2:01:00 PM,C,31.5
05/06/20 3:01:00 PM,C,26.5
05/06/20 4:01:00 PM,C,12
05/06/20 5:01:00 PM,C,12
05/06/20 6:01:00 PM,C,12
05/06/20 7:01:00 PM,C,11.5
05/06/20 8:01:00 PM,C,11.5
05/06/20 9:01:00 PM,C,11.5
05/06/20 10:01:00 PM,C,11
05/06/20 11:01:00 PM,C,11
06/06/20 12:01:00 AM,C,11.5
06/06/20 1:01:00 AM,C,12
06/06/20 2:01:00 AM,C,11.5
06/06/20 3:01:00 AM,C,11.5
06/06/20 4:01:00 AM,C,11.5
06/06/20 5:01:00 AM,C,11.5
06/06/20 6:01:00 AM,C,11
06/06/20 7:01:00 AM,C,11.5
06/06/20 8:01:00 AM,C,16.5
06/06/20 9:01:00 AM,C,19.5
06/06/20 10:01:00 AM,C,21.5
06/06/20 11:01:00 AM,C,17.5
06/06/20 12:01:00 PM,C,26
06/06/20 1:01:00 PM,C,28.5
06/06/20 2:01:00 PM,C,29.5
06/06/20 3:01:00 PM,C,20.5
06/06/20 4:01:00 PM,C,22.5
06/06/20 5:01:00 PM,C,12
06/06/20 6:01:00 PM,C,12
06/06/20 7:01:00 PM,C,11.5
06/06/20 8:01:00 PM,C,11.5
06/06/20 9:01:00 PM,C,11.5
06/06/20 10:01:00 PM,C,11
06/06/20 11:01:00 PM,C,10.5
07/06/20 12:01:00 AM,C,11
07/06/20 1:01:00 AM,C,11.5
07/06/20 2:01:00 AM,C,11.5
07/06/20 3:01:00 AM,C,11.5
07/06/20 4:01:00 AM,C,11.5
07/06/20 5:01:00 AM,C,11.5
07/06/20 6:01:00 AM,C,11
07/06/20 7:01:00 AM,C,11.5
07/06/20 8:01:00 AM,C,11.5
07/06/20 9:01:00 AM,C,23
07/06/20 10:01:00 AM,C,28.5
07/06/20 11:01:00 AM,C,29
07/06/20 12:01:00 PM,C,32
07/06/20 1:01:00 PM,C,32
07/06/20 2:01:00 PM,C,30
07/06/20 3:01:00 PM,C,28.5
07/06/20 4:01:00 PM,C,23
07/06/20 5:01:00 PM,C,22
07/06/20 6:01:00 PM,C,12
07/06/20 7:01:00 PM,C,12
07/06/20 8:01:00 PM,C,12
07/06/20 9:01:00 PM,C,11.5
07/06/20 10:01:00 PM,C,11
07/06/20 11:01:00 PM,C,11
08/06/20 12:01:00 AM,C,11
08/06/20 1:01:00 AM,C,11.5
08/06/20 2:01:00 AM,C,11.5
08/06/20 3:01:00 AM,C,11.5
08/06/20 4:01:00 AM,C,11.5
08/06/20 5:01:00 AM,C,11.5
08/06/20 6:01:00 AM,C,11.5
08/06/20 7:01:00 AM,C,11.5
08/06/20 8:01:00 AM,C,11.5
08/06/20 9:01:00 AM,C,13.5
08/06/20 10:01:00 AM,C,23
08/06/20 11:01:00 AM,C,28
08/06/20 12:01:00 PM,C,22.5
08/06/20 1:01:00 PM,C,26
08/06/20 2:01:00 PM,C,23.5
08/06/20 3:01:00 PM,C,22
08/06/20 4:01:00 PM,C,22.5
08/06/20 5:01:00 PM,C,19.5
08/06/20 6:01:00 PM,C,12
08/06/20 7:01:00 PM,C,12
08/06/20 8:01:00 PM,C,11.5
08/06/20 9:01:00 PM,C,11.5
08/06/20 10:01:00 PM,C,11
08/06/20 11:01:00 PM,C,11
09/06/20 12:01:00 AM,C,11
09/06/20 1:01:00 AM,C,11
09/06/20 2:01:00 AM,C,11.5
09/06/20 3:01:00 AM,C,11.5
09/06/20 4:01:00 AM,C,11.5
09/06/20 5:01:00 AM,C,11.5
09/06/20 6:01:00 AM,C,11.5
09/06/20 7:01:00 AM,C,11.5
09/06/20 8:01:00 AM,C,11.5
09/06/20 9:01:00 AM,C,11.5
09/06/20 10:01:00 AM,C,11.5
09/06/20 11:01:00 AM,C,12.5
09/06/20 12:01:00 PM,C,14
09/06/20 1:01:00 PM,C,14
09/06/20 2:01:00 PM,C,16
09/06/20 3:01:00 PM,C,17
09/06/20 4:01:00 PM,C,15.5
09/06/20 5:01:00 PM,C,16
09/06/20 6:01:00 PM,C,15
09/06/20 7:01:00 PM,C,11.5
09/06/20 8:01:00 PM,C,11.5
09/06/20 9:01:00 PM,C,11.5
09/06/20 10:01:00 PM,C,11
09/06/20 11:01:00 PM,C,11
10/06/20 12:01:00 AM,C,11
10/06/20 1:01:00 AM,C,11
10/06/20 2:01:00 AM,C,11
10/06/20 3:01:00 AM,C,11.5
10/06/20 4:01:00 AM,C,11.5
10/06/20 5:01:00 AM,C,11.5
10/06/20 6:01:00 AM,C,11
10/06/20 7:01:00 AM,C,11
10/06/20 8:01:00 AM,C,11.5
10/06/20 9:01:00 AM,C,11.5
10/06/20 10:01:00 AM,C,12
10/06/20 11:01:00 AM,C,22
10/06/20 12:01:00 PM,C,32
10/06/20 1:01:00 PM,C,30.5
10/06/20 2:01:00 PM,C,30
10/06/20 3:01:00 PM,C,26.5
10/06/20 4:01:00 PM,C,26.5
10/06/20 5:01:00 PM,C,25
10/06/20 6:01:00 PM,C,23
10/06/20 7:01:00 PM,C,20
10/06/20 8:01:00 PM,C,12
10/06/20 9:01:00 PM,C,12.5
10/06/20 10:01:00 PM,C,12
10/06/20 11:01:00 PM,C,11.5
11/06/20 12:01:00 AM,C,11
11/06/20 1:01:00 AM,C,11.5
11/06/20 2:01:00 AM,C,11.5
11/06/20 3:01:00 AM,C,11.5
11/06/20 4:01:00 AM,C,11.5
11/06/20 5:01:00 AM,C,11.5
11/06/20 6:01:00 AM,C,11.5
11/06/20 7:01:00 AM,C,11.5
11/06/20 8:01:00 AM,C,11.5
11/06/20 9:01:00 AM,C,11.5
11/06/20 10:01:00 AM,C,12
11/06/20 11:01:00 AM,C,17
11/06/20 12:01:00 PM,C,17
11/06/20 1:01:00 PM,C,27
11/06/20 2:01:00 PM,C,26.5
11/06/20 3:01:00 PM,C,26.5
11/06/20 4:01:00 PM,C,22.5
11/06/20 5:01:00 PM,C,20.5
11/06/20 6:01:00 PM,C,18
11/06/20 7:01:00 PM,C,16
11/06/20 8:01:00 PM,C,12
11/06/20 9:01:00 PM,C,12.5
11/06/20 10:01:00 PM,C,12
11/06/20 11:01:00 PM,C,11.5
12/06/20 12:01:00 AM,C,11.5
12/06/20 1:01:00 AM,C,11.5
12/06/20 2:01:00 AM,C,12
12/06/20 3:01:00 AM,C,11.5
12/06/20 4:01:00 AM,C,12
12/06/20 5:01:00 AM,C,11.5
12/06/20 6:01:00 AM,C,12
12/06/20 7:01:00 AM,C,11.5
12/06/20 8:01:00 AM,C,11.5
12/06/20 9:01:00 AM,C,11.5
12/06/20 10:01:00 AM,C,11.5
12/06/20 11:01:00 AM,C,12
12/06/20 12:01:00 PM,C,13
12/06/20 1:01:00 PM,C,15
12/06/20 2:01:00 PM,C,20.5
12/06/20 3:01:00 PM,C,20
12/06/20 4:01:00 PM,C,19
12/06/20 5:01:00 PM,C,17.5
12/06/20 6:01:00 PM,C,15.5
12/06/20 7:01:00 PM,C,14.5
12/06/20 8:01:00 PM,C,12
12/06/20 9:01:00 PM,C,11
12/06/20 10:01:00 PM,C,12
12/06/20 11:01:00 PM,C,11.5
13/06/20 12:01:00 AM,C,11.5
13/06/20 1:01:00 AM,C,11
13/06/20 2:01:00 AM,C,11.5
13/06/20 3:01:00 AM,C,11.5
13/06/20 4:01:00 AM,C,11.5
13/06/20 5:01:00 AM,C,11.5
13/06/20 6:01:00 AM,C,10.5
13/06/20 7:01:00 AM,C,11.5
13/06/20 8:01:00 AM,C,13.5
13/06/20 9:01:00 AM,C,13
13/06/20 10:01:00 AM,C,14
13/06/20 11:01:00 AM,C,15
13/06/20 12:01:00 PM,C,15.5
13/06/20 1:01:00 PM,C,14.5
13/06/20 2:01:00 PM,C,18.5
13/06/20 3:01:00 PM,C,17
